COL_DTM,STD_LINK_ID,SPEED,COL_TYPE
20231018080000,2050046800,27,MOCT
20231018080000,2050046900,14,MOCT
20231018080000,2050047000,28,MOCT
20231018080000,2050047100,39,MOCT
20231018080000,2050047200,23,MOCT
20231018080000,2050047500,12,MOCT
20231018080000,2050047600,27,MOCT
20231018080000,2050047700,27,MOCT
20231018080000,2050047800,34,MOCT
20231018080000,2050047900,45,MOCT
20231018080000,2050048000,47,MOCT
20231018080000,2050048101,35,MOCT
20231018080000,2050048102,41,MOCT
20231018080000,2050048201,40,MOCT
20231018080000,2050048202,24,MOCT
20231018080000,2050048500,13,MOCT
20231018080000,2050048600,14,MOCT
20231018080000,2050048700,28,MOCT
20231018080000,2050048800,28,MOCT
20231018080000,2050048900,31,MOCT
20231018080000,2050049000,22,MOCT
20231018080000,2050049100,10,MOCT
20231018080000,2050049200,22,MOCT
20231018080000,2050049300,12,MOCT
20231018080000,2050049400,14,MOCT
20231018080000,2050049500,37,MOCT
20231018080000,2050049600,22,MOCT
20231018080000,2050049700,32,MOCT
20231018080000,2050049800,32,MOCT
20231018080000,2050049900,34,MOCT
20231018080000,2050050000,25,MOCT
20231018080000,2050050100,18,MOCT
20231018080000,2050050200,12,MOCT
20231018080000,2050050300,23,MOCT
20231018080000,2050050400,38,MOCT
20231018080000,2050050500,16,MOCT
20231018080000,2050050600,23,MOCT
20231018080000,2050050700,28,MOCT
20231018080000,2050050800,24,MOCT
20231018080000,2050050901,30,MOCT
20231018080000,2050051001,34,MOCT
20231018080000,2050051700,18,MOCT
20231018080000,2050051800,24,MOCT
20231018080000,2050052100,7,MOCT
20231018080000,2050052200,5,MOCT
20231018080000,2050052300,20,MOCT
20231018080000,2050052400,18,MOCT
20231018080000,2050052500,20,MOCT
20231018080000,2050052600,27,MOCT
20231018080000,2050052700,37,MOCT
20231018080000,2050052800,27,MOCT
20231018080000,2050052900,35,MOCT
20231018080000,2050053000,25,MOCT
20231018080000,2050053100,18,MOCT
20231018080000,2050032500,30,MOCT
20231018080000,2050032600,39,MOCT
20231018080000,2050053200,27,MOCT
20231018080000,2050053300,29,MOCT
20231018080000,2050053400,25,MOCT
20231018080000,2050053500,14,MOCT
20231018080000,2050053600,5,MOCT
20231018080000,2050053700,8,MOCT
20231018080000,2050053800,28,MOCT
20231018080000,2050054100,19,MOCT
20231018080000,2050054200,22,MOCT
20231018080000,2050054300,66,MOCT
20231018080000,2050054400,45,MOCT
20231018080000,2050054500,25,MOCT
20231018080000,2050054600,31,MOCT
20231018080000,2050054701,22,MOCT
20231018080000,2050054703,23,MOCT
20231018080000,2050054704,11,MOCT
20231018080000,2050054802,15,MOCT
20231018080000,2050054803,23,MOCT
20231018080000,2050054804,33,MOCT
20231018080000,2050054900,36,MOCT
20231018080000,2050055000,18,MOCT
20231018080000,2050055300,38,MOCT
20231018080000,2050055400,44,MOCT
20231018080000,2050055500,49,MOCT
20231018080000,2050056200,33,MOCT
20231018080000,2050056300,75,MOCT
20231018080000,2050056400,61,MOCT
20231018080000,2050056500,25,MOCT
20231018080000,2050059100,31,MOCT
20231018080000,2050059200,79,MOCT
20231018080000,2050059300,33,MOCT
20231018080000,2050059400,75,MOCT
20231018080000,2050059500,23,MOCT
20231018080000,2050059600,78,MOCT
20231018080000,2050063700,45,MOCT
20231018080000,2050063800,67,MOCT
20231018080000,2050191200,37,MOCT
20231018080000,2050191300,38,MOCT
20231018080000,2050191400,61,MOCT
20231018080000,2050191500,53,MOCT
20231018080000,2050191600,62,MOCT
20231018080000,2050191700,58,MOCT
20231018080000,2050191800,63,MOCT
20231018080000,2050191900,69,MOCT
20231018080000,2050192000,44,MOCT
20231018080000,2050192100,44,MOCT
20231018080000,2050192200,78,MOCT
20231018080000,2050192300,72,MOCT
20231018080000,2050192400,32,MOCT
20231018080000,2050192500,55,MOCT
20231018080000,2050192600,75,MOCT
20231018080000,2050192700,74,MOCT
20231018080000,2050192800,63,MOCT
20231018080000,2050192900,79,MOCT
20231018080000,2050193000,4,MOCT
20231018080000,2050193100,27,MOCT
20231018080000,2050193200,23,MOCT
20231018080000,2050193300,24,MOCT
20231018080000,2050193400,8,MOCT
20231018080000,2050193500,16,MOCT
20231018080000,2050193600,4,MOCT
20231018080000,2050193700,10,MOCT
20231018080000,2050193800,17,MOCT
20231018080000,2050193900,21,MOCT
20231018080000,2050194000,22,MOCT
20231018080000,2050194100,24,MOCT
20231018080000,2050194200,17,MOCT
20231018080000,2050194300,32,MOCT
20231018080000,2050194400,11,MOCT
20231018080000,2050194500,15,MOCT
20231018080000,2050194600,24,MOCT
20231018080000,2050194700,31,MOCT
20231018080000,2050194800,22,MOCT
20231018080000,2050194900,23,MOCT
20231018080000,2050195000,30,MOCT
20231018080000,2050195100,25,MOCT
20231018080000,2050195200,32,MOCT
20231018080000,2050195300,4,MOCT
20231018080000,2050195400,15,MOCT
20231018080000,2050195500,8,MOCT
20231018080000,2050195600,26,MOCT
20231018080000,2050195700,28,MOCT
20231018080000,2050195800,19,MOCT
20231018080000,2050195900,35,MOCT
20231018080000,2050196000,23,MOCT
20231018080000,2050196100,21,MOCT
20231018080000,2050196200,22,MOCT
20231018080000,2050196300,16,MOCT
20231018080000,2050196400,9,MOCT
20231018080000,2050196500,11,MOCT
20231018080000,2050196600,25,MOCT
20231018080000,2050196700,25,MOCT
20231018080000,2050196800,26,MOCT
20231018080000,2050196900,20,MOCT
20231018080000,2050197000,20,MOCT
20231018080000,2050197100,24,MOCT
20231018080000,2050197200,16,MOCT
20231018080000,2050197300,29,MOCT
20231018080000,2050197400,22,MOCT
20231018080000,2050197500,19,MOCT
20231018080000,2050197600,21,MOCT
20231018080000,2050197700,13,MOCT
20231018080000,2050197800,12,MOCT
20231018080000,2050197900,29,MOCT
20231018080000,2050198000,22,MOCT
20231018080000,2050198100,22,MOCT
20231018080000,2050198200,13,MOCT
20231018080000,2050198300,12,MOCT
20231018080000,2050198400,36,MOCT
20231018080000,2050198500,25,MOCT
20231018080000,2050198600,26,MOCT
20231018080000,2050198700,28,MOCT
20231018080000,2050198800,28,MOCT
20231018080000,2050198900,4,MOCT
20231018080000,2050199000,28,MOCT
20231018080000,2050199100,31,MOCT
20231018080000,2050199200,26,MOCT
20231018080000,2050199300,26,MOCT
20231018080000,2050199400,10,MOCT
20231018080000,2050199500,29,MOCT
20231018080000,2050199600,18,MOCT
20231018080000,2050199700,21,MOCT
20231018080000,2050199800,15,MOCT
20231018080000,2050199900,4,MOCT
20231018080000,2050200000,12,MOCT
20231018080000,2050200100,9,MOCT
20231018080000,2050200200,32,MOCT
20231018080000,2050200300,29,MOCT
20231018080000,2050200400,30,MOCT
20231018080000,2050200500,18,MOCT
20231018080000,2050200800,26,MOCT
20231018080000,2050200900,17,MOCT
20231018080000,2050201000,15,MOCT
20231018080000,2050201100,17,MOCT
20231018080000,2050201200,28,MOCT
20231018080000,2050201300,19,MOCT
20231018080000,2050201400,25,MOCT
20231018080000,2050201500,29,MOCT
20231018080000,2050201600,24,MOCT
20231018080000,2050201700,25,MOCT
20231018080000,2050201800,11,MOCT
20231018080000,2050201900,25,MOCT
20231018080000,2050202000,34,MOCT
20231018080000,2050202100,11,MOCT
20231018080000,2050202200,32,MOCT
20231018080000,2050202300,31,MOCT
20231018080000,2050202400,32,MOCT
20231018080000,2050202500,31,MOCT
20231018080000,2050202600,31,MOCT
20231018080000,2050202700,43,MOCT
20231018080000,2050202800,25,MOCT
20231018080000,2050202900,38,MOCT
20231018080000,2050203000,30,MOCT
20231018080000,2050203100,30,MOCT
20231018080000,2050203200,9,MOCT
20231018080000,2050203300,21,MOCT
20231018080000,2050203400,4,MOCT
