COL_DTM,INT_NO,INT_STAT,INT_PHASE_NO,LNKD_DTM
20231019141001,688,1,2,2023-10-19 14:10:02
20231019140949,330,4,1,2023-10-19 14:09:50
20231019140940,221,1,3,2023-10-19 14:09:41
20231019140915,92,1,2,2023-10-19 14:09:16
20231019141001,125,1,1,2023-10-19 14:10:02
20231019140949,317,2,3,2023-10-19 14:09:50
20231019141001,445,1,3,2023-10-19 14:10:02
20231016054110,550,1,1,2023-10-16 05:41:11
20231019141001,148,1,3,2023-10-19 14:10:02
20231019140940,34,1,1,2023-10-19 14:09:41
20231019141001,302,1,2,2023-10-19 14:10:02
20231019141001,481,1,1,2023-10-19 14:10:02
20231019140916,89,1,1,2023-10-19 14:09:17
20231016054109,340,1,1,2023-10-16 05:41:10
20231019140916,676,1,3,2023-10-19 14:09:17
20231019141001,597,1,1,2023-10-19 14:10:02
20231019140949,395,4,1,2023-10-19 14:09:50
20231019141001,652,1,1,2023-10-19 14:10:02
20231019141001,601,1,1,2023-10-19 14:10:02
20231019140940,216,1,1,2023-10-19 14:09:41
20231019140916,245,1,1,2023-10-19 14:09:17
20231019140949,642,2,2,2023-10-19 14:09:50
20231019140940,166,1,2,2023-10-19 14:09:41
20231019140916,283,1,1,2023-10-19 14:09:17
20231019140940,115,1,4,2023-10-19 14:09:41
20231019141001,128,1,3,2023-10-19 14:10:02
20231019140916,171,1,1,2023-10-19 14:09:17
20231019140940,310,1,2,2023-10-19 14:09:41
20231016054110,385,1,1,2023-10-16 05:41:11
20231019140949,117,4,1,2023-10-19 14:09:50
20231019140916,506,1,3,2023-10-19 14:09:17
20231019140916,173,1,1,2023-10-19 14:09:17
20231019140916,187,1,1,2023-10-19 14:09:17
20231019140941,490,1,2,2023-10-19 14:09:42
20231019140751,475,1,1,2023-10-19 14:07:52
20231019140950,126,1,3,2023-10-19 14:09:51
20231019140949,399,4,1,2023-10-19 14:09:50
20231019140917,12,1,1,2023-10-19 14:09:18
20231019140917,172,1,1,2023-10-19 14:09:18
20231019140941,324,1,4,2023-10-19 14:09:42
20231019140917,96,1,2,2023-10-19 14:09:18
20231019140917,461,1,2,2023-10-19 14:09:18
20231019140941,106,1,4,2023-10-19 14:09:42
20231019140949,655,2,1,2023-10-19 14:09:50
20231019140949,694,4,1,2023-10-19 14:09:50
20231019140941,375,1,3,2023-10-19 14:09:42
20231019140917,105,1,3,2023-10-19 14:09:18
20231019141001,553,1,1,2023-10-19 14:10:02
20231019140949,425,4,1,2023-10-19 14:09:50
20231019140949,538,4,1,2023-10-19 14:09:50
20231019140949,525,2,1,2023-10-19 14:09:50
20231019141001,720,1,1,2023-10-19 14:10:02
20231019140949,26,2,1,2023-10-19 14:09:50
20231019140917,437,1,4,2023-10-19 14:09:18
20231019141001,67,1,1,2023-10-19 14:10:02
20231019140917,744,1,1,2023-10-19 14:09:18
20231019140949,551,4,1,2023-10-19 14:09:50
20231019140918,665,1,1,2023-10-19 14:09:19
20231019140918,666,1,1,2023-10-19 14:09:19
20231019140918,273,1,2,2023-10-19 14:09:19
20231019140941,734,1,1,2023-10-19 14:09:42
20231019140949,91,4,1,2023-10-19 14:09:50
20231019140919,361,1,3,2023-10-19 14:09:20
20231019140949,590,2,1,2023-10-19 14:09:50
20231019141001,259,1,1,2023-10-19 14:10:02
20231019140941,696,1,5,2023-10-19 14:09:42
20231019140950,520,1,2,2023-10-19 14:09:51
20231019140950,507,1,4,2023-10-19 14:09:51
20231019140941,58,1,1,2023-10-19 14:09:42
20231019141002,719,1,1,2023-10-19 14:10:03
20231019141002,450,1,2,2023-10-19 14:10:03
20231019140950,463,1,4,2023-10-19 14:09:51
20231019140941,622,1,3,2023-10-19 14:09:42
20231019141002,401,1,1,2023-10-19 14:10:03
20231019140920,603,1,1,2023-10-19 14:09:21
20231019140950,751,1,1,2023-10-19 14:09:51
20231019140950,271,1,2,2023-10-19 14:09:51
20231019140920,591,1,1,2023-10-19 14:09:21
20231019141002,43,1,2,2023-10-19 14:10:03
20231019140941,159,1,1,2023-10-19 14:09:42
20231019140941,108,1,2,2023-10-19 14:09:42
20231019140950,438,1,1,2023-10-19 14:09:51
20231019140752,447,1,1,2023-10-19 14:07:53
20231019140950,457,1,1,2023-10-19 14:09:51
20231019140921,593,1,1,2023-10-19 14:09:22
20231019140921,472,1,1,2023-10-19 14:09:22
20231019140950,203,1,2,2023-10-19 14:09:51
20231019140941,684,1,3,2023-10-19 14:09:42
20231019140921,534,1,2,2023-10-19 14:09:22
20231019140921,650,1,3,2023-10-19 14:09:22
20231019140921,321,1,1,2023-10-19 14:09:22
20231019140921,737,1,2,2023-10-19 14:09:22
20231019140941,254,1,5,2023-10-19 14:09:42
20231019140941,406,1,5,2023-10-19 14:09:42
20231019140941,410,1,2,2023-10-19 14:09:42
20231016054111,715,1,1,2023-10-16 05:41:12
20231019140921,441,1,3,2023-10-19 14:09:22
20231019140921,640,1,2,2023-10-19 14:09:22
20231019140953,320,1,4,2023-10-19 14:09:54
20231019140921,653,1,4,2023-10-19 14:09:22
20231019140950,677,1,1,2023-10-19 14:09:51
20231019140922,516,1,1,2023-10-19 14:09:23
20231019140922,248,1,1,2023-10-19 14:09:23
20231019140941,141,1,2,2023-10-19 14:09:42
20231019140954,81,1,2,2023-10-19 14:09:55
20231019140922,16,1,1,2023-10-19 14:09:23
20231019140922,439,1,1,2023-10-19 14:09:23
20231019140922,29,1,1,2023-10-19 14:09:23
20231019140922,609,1,1,2023-10-19 14:09:23
20231019140922,686,1,1,2023-10-19 14:09:23
20231019140752,452,1,1,2023-10-19 14:07:53
20231019140955,747,1,1,2023-10-19 14:09:56
20231019140955,145,1,3,2023-10-19 14:09:56
20231019140954,628,1,3,2023-10-19 14:09:55
20231019140954,620,1,2,2023-10-19 14:09:55
20231019140922,88,1,1,2023-10-19 14:09:23
20231019140945,14,1,1,2023-10-19 14:09:46
20231019140941,27,1,1,2023-10-19 14:09:42
20231019140941,754,1,3,2023-10-19 14:09:42
20231019140941,217,1,2,2023-10-19 14:09:42
20231019140954,127,1,3,2023-10-19 14:09:55
20231019140922,424,1,1,2023-10-19 14:09:23
20231019140922,473,1,1,2023-10-19 14:09:23
20231019140922,295,1,1,2023-10-19 14:09:23
20231019140946,323,1,1,2023-10-19 14:09:47
20231019140922,346,1,1,2023-10-19 14:09:23
20231019140945,46,1,1,2023-10-19 14:09:46
20231019140955,408,1,1,2023-10-19 14:09:56
20231019140923,207,1,2,2023-10-19 14:09:24
20231019140954,518,1,4,2023-10-19 14:09:55
20231019140926,263,1,1,2023-10-19 14:09:27
20231019140926,352,1,1,2023-10-19 14:09:27
20231019140950,511,1,2,2023-10-19 14:09:51
20231019140926,353,1,1,2023-10-19 14:09:27
20231019140945,315,1,3,2023-10-19 14:09:46
20231019140950,703,1,3,2023-10-19 14:09:51
20231019140950,729,1,2,2023-10-19 14:09:51
20231019140927,287,1,3,2023-10-19 14:09:28
20231019140951,522,1,1,2023-10-19 14:09:52
20231019140954,122,1,4,2023-10-19 14:09:55
20231019140954,378,1,4,2023-10-19 14:09:55
20231019140927,298,1,3,2023-10-19 14:09:28
20231019140927,49,1,1,2023-10-19 14:09:28
20231019140927,113,1,2,2023-10-19 14:09:28
20231019140941,435,1,1,2023-10-19 14:09:42
20231019140945,444,1,3,2023-10-19 14:09:46
20231019140927,291,1,3,2023-10-19 14:09:28
20231019140927,368,1,1,2023-10-19 14:09:28
20231019140951,625,1,3,2023-10-19 14:09:52
20231019140951,459,1,3,2023-10-19 14:09:52
20231019140951,446,1,2,2023-10-19 14:09:52
20231019140928,365,1,4,2023-10-19 14:09:29
20231019140951,303,1,2,2023-10-19 14:09:52
20231016054111,714,1,1,2023-10-16 05:41:12
20231019140951,355,1,1,2023-10-19 14:09:52
20231019140951,167,1,2,2023-10-19 14:09:52
20231019140928,5,1,1,2023-10-19 14:09:29
20231019140951,192,1,2,2023-10-19 14:09:52
20231019140951,730,1,2,2023-10-19 14:09:52
20231019140956,241,1,4,2023-10-19 14:09:57
20231019140951,180,1,2,2023-10-19 14:09:52
20231019140951,129,1,3,2023-10-19 14:09:52
20231019140951,193,1,2,2023-10-19 14:09:52
20231019140951,319,1,1,2023-10-19 14:09:52
20231019140951,409,1,3,2023-10-19 14:09:52
20231019140951,678,1,1,2023-10-19 14:09:52
20231019140951,144,1,2,2023-10-19 14:09:52
20231019140951,235,1,2,2023-10-19 14:09:52
20231019140951,143,1,2,2023-10-19 14:09:52
20231019140951,680,1,1,2023-10-19 14:09:52
20231019140951,220,1,2,2023-10-19 14:09:52
20231019140951,374,1,4,2023-10-19 14:09:52
20231019140951,237,1,1,2023-10-19 14:09:52
20231019140740,493,1,1,2023-10-19 14:07:41
20231019140951,161,1,1,2023-10-19 14:09:52
20231019140951,274,1,1,2023-10-19 14:09:52
20231019140951,275,1,1,2023-10-19 14:09:52
20231019140951,44,1,3,2023-10-19 14:09:52
20231019140951,403,1,2,2023-10-19 14:09:52
20231019140955,4,1,2,2023-10-19 14:09:56
20231019140955,120,1,4,2023-10-19 14:09:56
20231019140955,124,1,2,2023-10-19 14:09:56
20231019140955,9,1,3,2023-10-19 14:09:56
20231019140955,297,1,1,2023-10-19 14:09:56
20231019140955,232,1,3,2023-10-19 14:09:56
20231019140955,716,1,1,2023-10-19 14:09:56
20231019140955,748,1,1,2023-10-19 14:09:56
20231019140955,486,1,3,2023-10-19 14:09:56
20231019140955,7,1,1,2023-10-19 14:09:56
20231019140955,103,1,2,2023-10-19 14:09:56
20231019140932,239,1,1,2023-10-19 14:09:33
20231019140932,61,1,4,2023-10-19 14:09:33
20231019140942,586,1,5,2023-10-19 14:09:43
20231019140932,304,1,5,2023-10-19 14:09:33
