INT_NO,INT_PHASE_NO,INT_PLAN_CLSS,INT_RING,INT_FLOW_NO,INT_MIN_SPLIT,INT_MAX_SPLIT,INT_YELLOW,INT_MAIN_PHASE,INT_LANE,INT_PHASE_LAT1,INT_PHASE_LNG1,INT_PHASE_LAT2,INT_PHASE_LNG2,INT_PHASE_LAT3,INT_PHASE_LNG3
233,1,0,0,6,0,0,0,0,0,37.35326,127.11132,37.35342,127.11097,37.35344,127.11082
233,1,0,1,2,0,0,0,0,0,37.35329,127.11048,37.35323,127.11089,37.35318,127.11101
233,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
234,1,0,1,2,0,0,0,0,0,37.35278,127.11186,37.35261,127.11221,37.35255,127.11233
234,1,0,0,6,0,0,0,0,0,37.35259,127.11268,37.35278,127.11234,37.35284,127.11222
234,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
234,3,0,0,6,0,0,0,0,0,37.35259,127.11268,37.35278,127.11234,37.35284,127.11222
234,3,0,1,2,0,0,0,0,0,37.35278,127.11186,37.35261,127.11221,37.35255,127.11233
234,4,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
235,1,0,0,8,0,0,0,0,0,37.35106,127.10642,37.35138,127.10639,37.3515,127.10637
235,1,0,1,4,0,0,0,0,0,37.35168,127.10608,37.35136,127.10615,37.35124,127.10615
235,2,0,0,6,0,0,0,0,0,37.35147,127.10668,37.35147,127.10627,37.35147,127.10612
235,2,0,1,2,0,0,0,0,0,37.35127,127.10586,37.35128,127.10627,37.35127,127.10642
235,3,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
236,1,0,1,2,0,0,0,0,0,37.34997,127.10391,37.34997,127.10432,37.34997,127.10447
236,1,0,0,6,0,0,0,0,0,37.35016,127.10473,37.35017,127.10432,37.35017,127.10418
236,2,0,0,5,0,0,0,0,0,37.35017,127.10391,37.35017,127.10432,37.35029,127.10432
236,2,0,1,2,0,0,0,0,0,37.34997,127.10391,37.34997,127.10432,37.34997,127.10447
236,3,0,0,7,0,0,0,0,0,37.3504,127.10444,37.35007,127.10444,37.35007,127.10459
237,1,0,0,6,0,0,0,0,0,37.35012,127.10678,37.35012,127.10638,37.35013,127.10623
237,1,0,1,2,0,0,0,0,0,37.34993,127.10597,37.34992,127.10637,37.34992,127.10652
237,2,0,0,5,0,0,0,0,0,37.35013,127.10597,37.35012,127.10638,37.35024,127.10637
237,2,0,1,1,0,0,0,0,0,37.34993,127.10678,37.34992,127.10638,37.34981,127.10639
237,3,0,0,7,0,0,0,0,0,37.35035,127.10647,37.35003,127.1065,37.35003,127.10665
237,3,0,1,4,0,0,0,0,0,37.35034,127.10623,37.35002,127.10625,37.3499,127.10626
237,4,0,0,8,0,0,0,0,0,37.34971,127.10653,37.35003,127.1065,37.35015,127.10649
237,4,0,1,3,0,0,0,0,0,37.34969,127.10628,37.35002,127.10625,37.35002,127.10611
238,1,0,0,8,0,0,0,0,0,37.34971,127.10903,37.35004,127.10903,37.35015,127.10903
238,1,0,1,4,0,0,0,0,0,37.35036,127.10878,37.35004,127.10878,37.34992,127.10878
238,2,0,0,7,0,0,0,0,0,37.35036,127.10903,37.35004,127.10903,37.35004,127.10917
238,2,0,1,3,0,0,0,0,0,37.34971,127.10878,37.35004,127.10878,37.35004,127.10863
238,3,0,0,6,0,0,0,0,0,37.35014,127.10931,37.35014,127.1089,37.35013,127.10876
238,3,0,1,1,0,0,0,0,0,37.34994,127.10931,37.34994,127.1089,37.34982,127.1089
238,4,0,0,5,0,0,0,0,0,37.35013,127.1085,37.35014,127.1089,37.35025,127.1089
238,4,0,1,2,0,0,0,0,0,37.34994,127.1085,37.34994,127.1089,37.34994,127.10905
239,1,0,0,6,0,0,0,0,0,37.35014,127.11242,37.35013,127.11202,37.35013,127.11187
239,1,0,1,2,0,0,0,0,0,37.34993,127.11161,37.34993,127.11202,37.34994,127.11217
239,2,0,0,5,0,0,0,0,0,37.35013,127.11161,37.35013,127.11202,37.35025,127.11202
239,2,0,1,1,0,0,0,0,0,37.34994,127.11243,37.34993,127.11202,37.34982,127.11202
239,3,0,0,7,0,0,0,0,0,37.35036,127.11214,37.35003,127.11214,37.35004,127.11229
239,3,0,1,4,0,0,0,0,0,37.35036,127.11189,37.35003,127.11189,37.34992,127.11189
239,4,0,0,8,0,0,0,0,0,37.34971,127.11214,37.35003,127.11214,37.35015,127.11214
239,4,0,1,3,0,0,0,0,0,37.34971,127.11189,37.35003,127.11189,37.35003,127.11175
240,1,0,0,8,0,0,0,0,0,37.35071,127.11507,37.35096,127.11532,37.35106,127.11541
240,1,0,1,3,0,0,0,0,0,37.35083,127.11488,37.35109,127.11513,37.35115,127.11501
240,2,0,0,6,0,0,0,0,0,37.35084,127.11558,37.35109,127.11532,37.35115,127.1152
240,2,0,1,1,0,0,0,0,0,37.35071,127.11539,37.35096,127.11513,37.35087,127.11504
240,3,0,0,7,0,0,0,0,0,37.35123,127.11556,37.35097,127.11533,37.35088,127.11542
240,3,0,1,4,0,0,0,0,0,37.35135,127.11536,37.35108,127.11513,37.35099,127.11503
240,4,0,0,5,0,0,0,0,0,37.35129,127.11497,37.3511,127.1153,37.3512,127.11538
240,4,0,1,2,0,0,0,0,0,37.35113,127.11482,37.35094,127.11516,37.35085,127.11525
241,1,0,0,8,0,0,0,0,0,37.34896,127.11621,37.34928,127.11621,37.3494,127.1162
241,1,0,1,4,0,0,0,0,0,37.3496,127.11595,37.34928,127.11596,37.34916,127.11596
241,2,0,1,1,0,0,0,0,0,37.34919,127.11649,37.34918,127.11609,37.34907,127.11609
241,3,0,0,8,0,0,0,0,0,37.34896,127.11621,37.34928,127.11621,37.3494,127.1162
241,3,0,1,4,0,0,0,0,0,37.3496,127.11595,37.34928,127.11596,37.34916,127.11596
241,4,0,1,1,0,0,0,0,0,37.34919,127.11649,37.34918,127.11609,37.34907,127.11609
242,1,0,0,8,0,0,0,0,0,37.34725,127.11216,37.34758,127.11215,37.34769,127.11215
242,1,0,1,4,0,0,0,0,0,37.3479,127.1119,37.34757,127.1119,37.34746,127.1119
242,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
242,3,0,0,8,0,0,0,0,0,37.34725,127.11216,37.34758,127.11215,37.34769,127.11215
242,3,0,1,4,0,0,0,0,0,37.3479,127.1119,37.34757,127.1119,37.34746,127.1119
242,4,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
