COL_DTM,INT_NO,INT_STAT,INT_PHASE_NO,LNKD_DTM
20231000000000,353,1,3,2023-10-18 08:00:00
20231000000000,375,1,1,2023-10-18 08:00:00
20231000000000,440,1,4,2023-10-18 08:00:00
20231000000000,476,1,3,2023-10-18 08:00:00
20231000000000,485,1,1,2023-10-18 08:00:00
20231000000000,512,1,1,2023-10-18 08:00:00
20231000000000,628,1,1,2023-10-18 08:00:00
20231000000000,2,1,2,2023-10-18 08:00:00
20231000000000,8,2,1,2023-10-18 08:00:00
20231000000000,10,2,1,2023-10-18 08:00:00
20231000000000,24,2,1,2023-10-18 08:00:00
20231000000000,26,2,1,2023-10-18 08:00:00
20231000000000,45,4,1,2023-10-18 08:00:00
20231000000000,51,2,4,2023-10-18 08:00:00
20231000000000,55,4,1,2023-10-18 08:00:00
20231000000000,59,2,1,2023-10-18 08:00:00
20231000000000,75,4,1,2023-10-18 08:00:00
20231000000000,79,2,1,2023-10-18 08:00:00
20231000000000,85,2,1,2023-10-18 08:00:00
20231000000000,91,4,1,2023-10-18 08:00:00
20231000000000,101,4,1,2023-10-18 08:00:00
20231000000000,114,4,1,2023-10-18 08:00:00
20231000000000,118,4,1,2023-10-18 08:00:00
20231000000000,151,1,1,2023-10-18 08:00:00
20231000000000,164,2,1,2023-10-18 08:00:00
20231000000000,187,1,2,2023-10-18 08:00:00
20231000000000,202,2,1,2023-10-18 08:00:00
20231000000000,213,4,1,2023-10-18 08:00:00
20231000000000,223,1,2,2023-10-18 08:00:00
20231000000000,225,1,2,2023-10-18 08:00:00
20231000000000,232,1,4,2023-10-18 08:00:00
20231000000000,233,2,1,2023-10-18 08:00:00
20231000000000,236,2,1,2023-10-18 08:00:00
20231000000000,238,2,1,2023-10-18 08:00:00
20231000000000,240,2,1,2023-10-18 08:00:00
20231000000000,253,4,1,2023-10-18 08:00:00
20231000000000,255,2,1,2023-10-18 08:00:00
20231000000000,257,2,1,2023-10-18 08:00:00
20231000000000,260,2,1,2023-10-18 08:00:00
20231000000000,270,2,1,2023-10-18 08:00:00
20231000000000,271,1,3,2023-10-18 08:00:00
20231000000000,310,1,1,2023-10-18 08:00:00
20231000000000,314,2,1,2023-10-18 08:00:00
20231000000000,317,2,3,2023-10-18 08:00:00
20231000000000,318,2,1,2023-10-18 08:00:00
20231000000000,325,2,1,2023-10-18 08:00:00
20231000000000,330,4,1,2023-10-18 08:00:00
20231000000000,336,2,1,2023-10-18 08:00:00
20231000000000,337,2,1,2023-10-18 08:00:00
20231000000000,338,2,1,2023-10-18 08:00:00
20231000000000,347,1,2,2023-10-18 08:00:00
20231000000000,349,1,2,2023-10-18 08:00:00
20231000000000,367,1,5,2023-10-18 08:00:00
20231000000000,370,4,1,2023-10-18 08:00:00
20231000000000,376,2,3,2023-10-18 08:00:00
20231000000000,380,4,1,2023-10-18 08:00:00
20231000000000,381,4,1,2023-10-18 08:00:00
20231000000000,384,4,1,2023-10-18 08:00:00
20231000000000,395,4,1,2023-10-18 08:00:00
20231000000000,396,2,1,2023-10-18 08:00:00
20231000000000,397,4,1,2023-10-18 08:00:00
20231000000000,398,4,1,2023-10-18 08:00:00
20231000000000,399,4,1,2023-10-18 08:00:00
20231000000000,400,2,1,2023-10-18 08:00:00
20231000000000,413,2,1,2023-10-18 08:00:00
20231000000000,416,2,1,2023-10-18 08:00:00
20231000000000,418,2,1,2023-10-18 08:00:00
20231000000000,420,4,1,2023-10-18 08:00:00
20231000000000,421,4,1,2023-10-18 08:00:00
20231000000000,425,4,1,2023-10-18 08:00:00
20231000000000,427,4,1,2023-10-18 08:00:00
20231000000000,428,4,1,2023-10-18 08:00:00
20231000000000,429,2,1,2023-10-18 08:00:00
20231000000000,430,2,1,2023-10-18 08:00:00
20231000000000,433,2,1,2023-10-18 08:00:00
20231000000000,442,2,1,2023-10-18 08:00:00
20231000000000,468,2,1,2023-10-18 08:00:00
20231000000000,470,2,1,2023-10-18 08:00:00
20231000000000,482,2,1,2023-10-18 08:00:00
20231000000000,487,2,4,2023-10-18 08:00:00
20231000000000,488,1,1,2023-10-18 08:00:00
20231000000000,491,2,1,2023-10-18 08:00:00
20231000000000,498,2,1,2023-10-18 08:00:00
20231000000000,502,2,1,2023-10-18 08:00:00
20231000000000,505,2,1,2023-10-18 08:00:00
20231000000000,506,1,1,2023-10-18 08:00:00
20231000000000,513,4,1,2023-10-18 08:00:00
20231000000000,515,2,1,2023-10-18 08:00:00
20231000000000,525,2,1,2023-10-18 08:00:00
20231000000000,526,2,1,2023-10-18 08:00:00
20231000000000,527,1,3,2023-10-18 08:00:00
20231000000000,529,2,1,2023-10-18 08:00:00
20231000000000,530,4,1,2023-10-18 08:00:00
20231000000000,531,2,2,2023-10-18 08:00:00
20231000000000,538,4,1,2023-10-18 08:00:00
20231000000000,543,4,1,2023-10-18 08:00:00
20231000000000,545,4,1,2023-10-18 08:00:00
20231000000000,546,4,1,2023-10-18 08:00:00
20231000000000,551,4,1,2023-10-18 08:00:00
20231000000000,554,4,1,2023-10-18 08:00:00
20231000000000,555,4,1,2023-10-18 08:00:00
20231000000000,561,4,1,2023-10-18 08:00:00
20231000000000,562,4,1,2023-10-18 08:00:00
20231000000000,563,4,1,2023-10-18 08:00:00
20231000000000,565,2,1,2023-10-18 08:00:00
20231000000000,567,2,1,2023-10-18 08:00:00
20231000000000,570,2,1,2023-10-18 08:00:00
20231000000000,574,4,1,2023-10-18 08:00:00
20231000000000,580,4,1,2023-10-18 08:00:00
20231000000000,581,2,1,2023-10-18 08:00:00
20231000000000,584,2,1,2023-10-18 08:00:00
20231000000000,587,2,1,2023-10-18 08:00:00
20231000000000,589,2,1,2023-10-18 08:00:00
20231000000000,590,2,1,2023-10-18 08:00:00
20231000000000,594,2,1,2023-10-18 08:00:00
20231000000000,602,2,1,2023-10-18 08:00:00
20231000000000,610,2,1,2023-10-18 08:00:00
20231000000000,614,2,1,2023-10-18 08:00:00
20231000000000,627,2,1,2023-10-18 08:00:00
20231000000000,631,2,1,2023-10-18 08:00:00
20231000000000,632,2,1,2023-10-18 08:00:00
20231000000000,642,2,2,2023-10-18 08:00:00
20231000000000,655,2,1,2023-10-18 08:00:00
20231000000000,669,2,1,2023-10-18 08:00:00
20231000000000,690,2,2,2023-10-18 08:00:00
20231000000000,694,4,1,2023-10-18 08:00:00
20231000000000,695,2,1,2023-10-18 08:00:00
20231000000000,697,2,1,2023-10-18 08:00:00
20231000000000,708,2,1,2023-10-18 08:00:00
20231000000000,709,4,1,2023-10-18 08:00:00
20231000000000,710,2,1,2023-10-18 08:00:00
20231000000000,717,2,1,2023-10-18 08:00:00
20231000000000,725,2,1,2023-10-18 08:00:00
20231000000000,735,2,1,2023-10-18 08:00:00
20231000000000,739,2,2,2023-10-18 08:00:00
20231000000000,742,1,1,2023-10-18 08:00:00
20231000000000,753,2,1,2023-10-18 08:00:00
20231000000000,806,2,1,2023-10-18 08:00:00
20231000000000,808,2,1,2023-10-18 08:00:00
20231000000000,809,2,1,2023-10-18 08:00:00
20231000000000,810,2,1,2023-10-18 08:00:00
20231000000000,11,1,2,2023-10-18 08:00:00
20231000000000,189,1,3,2023-10-18 08:00:00
20231000000000,311,1,1,2023-10-18 08:00:00
20231000000000,374,1,5,2023-10-18 08:00:00
20231000000000,536,1,3,2023-10-18 08:00:00
20231000000000,558,1,3,2023-10-18 08:00:00
20231000000000,119,1,4,2023-10-18 08:00:00
20231000000000,162,1,4,2023-10-18 08:00:00
20231000000000,345,1,1,2023-10-18 08:00:00
20231000000000,363,1,5,2023-10-18 08:00:00
20231000000000,495,1,2,2023-10-18 08:00:00
20231000000000,523,1,5,2023-10-18 08:00:00
20231000000000,557,1,2,2023-10-18 08:00:00
20231000000000,56,1,4,2023-10-18 08:00:00
20231000000000,80,1,2,2023-10-18 08:00:00
20231000000000,120,1,1,2023-10-18 08:00:00
20231000000000,158,1,2,2023-10-18 08:00:00
20231000000000,167,1,3,2023-10-18 08:00:00
